title,wikidata,author,language,country,published,pages,publisher,editor,isbn13,isbn10,oclc
Cyffesion Geordie Oddi Cartref,Q20599048,Q18535467,Q9309,Q25,,,Q3042717,,978-1-84851-208-5,,
Hugh Griffith (llyfr),Q13129168,Q5962763,Q9309,Q25,,208,Q3042717,,978-1-84851-283-2,,
Ffydd Gobaith Cariad,Q20595832,Q6662897,Q9309,Q25,,341,Q3404425,,978-0-86243-939-2,,
Cymru: Y 100 lle i’w gweld cyn marw,Q13127693,Q405282,Q9309,Q25,,324,Q3404425,,978-1-84771-196-0,,
Harry Potter and the Chamber of Secrets,Q47209,Q34660,Q1860,Q145,1998-07-02,251,Q150120,,,0-7475-3849-2,
Fifty Shades of Grey,Q557867,,Q1860,Q145,2011-06-20,,,,978-1-61213-028-6,,
Hanes Cymru (llyfr),Q20600298,,Q9309,,1990,767,,,,,
I Ble'r Aeth Haul y Bore?,Q13129221,Q5349883,Q9309,Q25,,192,Q3404425,,978-0-86243-435-9,,
Un Ddinas Dau Fyd,Q20601915,Q6662897,Q9309,Q25,2011-03-04,352,Q3404425,,,1-84771-322-X,
Yr Ergyd Olaf,Q20602482,Q6662897,Q9309,Q25,2007-11-15,192,Q3404425,,,1-84771-011-5,
Cig a Gwaed,Q20592515,Q18535875,Q9309,Q25,,368,Q3404425,,978-1-84771-515-9,,
The Bell Jar,Q1213085,,Q1860,Q30,,288,,,,,
Pantglas (nofel),Q18535850,,Q9309,Q25,,192,Q3404425,,,1-84771-318-1,
Cestyll yn y Cymylau,Q18535509,,Q9309,Q25,,140,Q3404425,,,0-86243-979-5,
Dan Gadarn Goncrit,Q18535556,,Q9309,Q25,,288,Q3404425,,,0-86243-494-7,
Yr Erlid,Q20565480,,Q9309,Q25,,272,Q3404425,,978-1-84771-431-2,1-84771-431-5,
EFfrindiau (llyfr),Q20593198,,Q9309,Q25,2009,192,Q3042717,,,1-84851-105-1,
Ifor Bach (llyfr),Q20590586,,Q9309,Q25,1973,79,Q13128815,,,0-7074-0344-8,
Deltanet,Q20589786,,Q9309,Q25,1999,82,Q3042717,,,1-85902-778-4,
Pwy sy'n cofio Siôn?,Q20592953,,Q9309,Q25,2001,89,Q3042717,,,1-85902-988-4,
Y Blaned Ddur,Q20601767,Q18535619,Q9309,Q25,1995,63,Q14508502,,,1-85596-187-3,
Y Bradwr (llyfr),Q20601790,Q18535619,Q9309,Q25,1991,57,Q14508502,,,1-85596-016-8,
Y Ferch o Berlin,Q20602044,Q18535619,Q9309,Q25,1993,59,Q14508502,,,1-85596-033-8,
Modrybedd Afradlon,Q18535816,Q3398074,Q9309,Q25,2000,93,Q3042717,,,1-85902-878-0,
Blasu (nofel),Q20583230,Q18535914,Q9309,Q25,2012,300,Q3404425,,978-1-84771-382-7,,
Anecdotau Llenyddol,Q20577991,,Q9309,Q25,1987-01-01,228,,,978-1-84527-448-1,,
Anghenion y Gynghanedd,Q18535436,Q2830554,Q9309,Q25,2007-07-19,355,,,978-1-900437-98-1,,
"Annwyl D.J. - Llythyrau D.J., Saunders, a Kate",Q18535449,,Q9309,Q25,2007-05-04,384,,,978-0-86243-965-1,,
Yr Anterliwt Goll,Q20578207,,Q9309,Q25,1983-01-01,67,Q666063,,978-0-907158-10-3,,
Anterliwtiau Huw Jones o Langwm,Q20578221,,Q9309,Q25,2000-12-02,278,,,978-1-900437-37-0,,
Astudiaethau ar yr Hengerdd,Q20579665,,,Q25,1978-01-01,399,Q7896557,,978-0-7083-0696-3,,
Awdlau'r Brifwyl 1950-1999,Q20579808,Q5294324,Q9309,Q25,2008-05-02,382,Q5294324,,,,
Barddoniaeth i Bawb? - Stéphane Mallarmé,Q20580503,,Q9309,Q25,1998-07-31,64,,,978-0-9528904-1-6,,
Y Bedwaredd Gainc,Q20601740,Q5208380,Q9309,Q25,1988-01-01,44,,,978-0-904852-62-2,,
Y Beibl a Llenyddiaeth Gymraeg,Q20601746,Q5261735,Q9309,Q25,1998-08-01,256,,,978-1-85902-641-0,,
Beirdd a Thywysogion,Q20582053,,Q9309,Q25,1996-04-01,390,Q7896557,,978-0-7083-1276-6,,
Beirdd yr Uchelwyr a'r Gymdeithas yng Nghymru c.1536-1640,Q20582098,,Q9309,Q25,1997-11-06,265,,,978-0-7074-0298-7,,
Beirniadaeth Gyfansawdd - Fframwaith Cyflawn Beirniadaeth Lenyddol,Q20582123,Q4935805,Q9309,Q25,2003-07-01,296,,,978-1-900437-59-2,,
Arwr Glew Erwau'r Glo,Q20579588,Q2699091,Q9309,Q25,1994-01-01,296,,,978-1-85902-093-7,,
Bewnans Ke (golygiad),Q20582796,,,Q25,2007-03-15,488,,,978-0-85989-800-3,,
Brut y Brenhinedd (golygiad),,,,Q25,1984-01-01,182,,Q4981007,978-0-00-017167-2,,
Buched Dewi (golygiad),Q20585387,,Q9309,Q25,1959,107,,Q13127794,978-0-7083-0705-2,,
Byd Go Iawn Un Nos Ola Leuad,Q20585696,Q20949588,Q9309,Q25,,326,,,978-1-900437-99-8,,
Canhwyll Marchogyon,Q20587197,,Q9309,Q25,,174,,,978-0-7083-1639-9,,
