title,wikipedia,wikidata,subject
RE:Belbina 1,,Q21588491,
RE:Begialis,,Q21588485,
RE:Belistiche,,Q21588508,
RE:Beleus 2,,Q21588504,
RE:Beltra,,Q21588523,
RE:Asklepios 1,,Q21588410,
RE:Bekis,,Q21588488,
RE:Berekyntes,,Q21588539,
RE:Belephantes,,Q21588495,
RE:Benneueke,,Q21588532,
RE:Bendidium templum,,Q21588527,
RE:Bekuli,,Q21588489,
RE:Belbina 3,,Q21588332,
RE:Belesys 3,,Q21588499,
RE:Belias,,Q21588334,
RE:Belis,,Q21588507,
RE:Belone,,Q21588520,
RE:Bebrykes 2,,Q21588477,
RE:Belluros,,Q21588515,
RE:Beledina,,Q21588494,
RE:Domitius 27,,Q21588602,
RE:Bematistai,,Q21588525,
RE:Asklepiades 27,,Q21588350,
RE:Asklepiodoros 4,,Q21588391,
RE:Asklepiodoros 6,,Q21588393,
RE:Asklepiodoros 1,,Q21588384,
RE:Asklepiades 35,,Q21588363,
RE:Asklepiades 11,,Q21497671,
RE:Asklepiodoros 3,,Q21588388,
RE:Asklepiodoros 11,,Q21588398,
RE:Asklepiades 44,,Q21588380,
RE:Asklepiades 34,,Q21588362,
RE:Asklepiades 41,,Q21588375,
RE:Asklepiades 39,,Q21588371,
RE:Asklepiodoros 2,,Q21588386,
RE:Asklepiades 31,,Q21588357,
RE:Asklepiodoros 7,,Q21588394,
RE:Asklepiades 38,,Q21588331,
RE:Asklepiades 30,,Q21588355,
RE:Asklepiades 32,,Q21588359,
RE:Asklepiades 22,,Q21588344,
RE:Asklepiades 14a,,Q21497682,
RE:Asklepiades 26,,Q21588349,
RE:Asklepiodoros 5,,Q21588392,
RE:Asklepiodoros 9,,Q21588396,
RE:Asklepiades 45,,Q21588381,
RE:Asklepiades 42,,Q21588376,
RE:Asklepiodotos 12,,Q21588404,
RE:Asklepiades 15,,Q21497684,
RE:Asklepiodoros 12,,Q21588399,
RE:Asklepiades 43,,Q21588377,
RE:Asklepiades 29,,Q21588353,
RE:Askion,,Q21497619,
