title,wikipedia,wikidata,subject
RE:Asklepios 7,,Q21588417,
RE:Baione,,Q21660110,
RE:Gubali,,Q21660226,
RE:Gubernatrices,,Q21660228,
RE:Ἀσκοπήρα,,Q21588433,
RE:Baitarrhus,,Q21660126,
RE:Askondas,,Q21588431,
RE:Ἀσκώματα,,Q21588428,
RE:Athenodoros 13,,Q21588475,
RE:Gubba,,Q21660002,
RE:Bait,,Q21660124,
RE:Athenodoros 10,,Q21588472,
RE:Baithsan,,Q21659993,
RE:Askos,,Q21660070,
RE:Aspasios 5,,Q21588446,
RE:Asklepios 5,,Q21588415,
RE:Aspasios 2,,Q21588445,
RE:Bairos,,Q21660116,
RE:Berenike 18,,,
RE:Athenodoros 3,,Q21588459,
RE:Beres 2,,Q21588566,
RE:Bennike,,Q21588339,
RE:Beroia,,Q21588587,
RE:Berenike 13,,Q21588553,
RE:Athenodoros 1,,Q21588454,
RE:Beris,,Q21588577,
RE:Beroia 1,,Q21588589,
RE:Berekyntes,,Q21588539,
RE:Beodizum,,Q21588536,
RE:Berenike 16,,Q21588559,
RE:Bergison,,Q21588573,
RE:Beros,,Q21588595,
RE:Berenike 10,,Q21588545,
RE:Berenike 15,,Q21588556,
RE:Βεννικὸς κόλπος,,Q21588603,
RE:Berekynthos,,Q21588541,
RE:Berenike 1,,Q21588542,
RE:Berissa,,Q21588580,
RE:Berneikianos,,Q21588585,
RE:Benna 1,,Q21588531,
RE:Athenius 1,,Q21588447,
RE:Benneueke,,Q21588532,
RE:Bergan,,Q21588569,
RE:Bermion,,Q21588583,
RE:Berdanna,,Q21588538,
RE:Beroia 3,,Q21588593,
RE:Athenodoros 5,,Q21588463,
RE:Athenodoros 7,,Q21588466,
RE:Berenike 17,,Q21588561,
RE:Beroia 2,,Q21588591,
RE:Athenius 2,,Q21588450,
RE:Athenodoros 9,,Q21588470,
RE:Beroia 4,,Q21588594,
RE:Berenike 12,,Q21588550,
RE:Athenodoros 6,,Q21588465,
RE:Athenodoros 8,,Q21588467,
RE:Berga,,Q21588568,
RE:Berenike 2,,Q21588543,
RE:Beres 1,,Q21588564,
RE:Athenodoros 2,,Q21588456,
RE:Athenobios,,Q21588452,
RE:Berisades,,Q21588578,
RE:Athenodoros 4,,Q21588461,
RE:Berenike 14,,Q21588555,
RE:Bergepolis,,Q21588572,
RE:Belesys 3,,Q21588499,
RE:Belbina 2,,Q21588492,
RE:Beledina,,Q21588494,
RE:Belaidipara,,Q21588490,
RE:Bedyndia,,Q21588479,
RE:Bene,,Q21588528,
RE:Belluros,,Q21588515,
RE:Domitius 24,,Q21588597,
RE:Asklepiodotos 12,,Q21588404,
RE:Belistiche,,Q21588508,
RE:Asklepios 2,,Q21588423,
RE:Asklepiodoros 10,,Q21588397,
RE:Asklepiodoros 12,,Q21588399,
RE:Beni,,Q21588530,
RE:Belephantes,,Q21588495,
RE:Belbina 3,,Q21588332,
RE:Bebrykes 2,,Q21588477,
RE:Begialis,,Q21588485,
RE:Belias,,Q21588334,
RE:Bendidium templum,,Q21588527,
RE:Belis,,Q21588507,
RE:Beletaras 2,,Q21588501,
RE:Asklepion,,Q21588407,
RE:Belochos 2,,Q21588519,
RE:Bematistai,,Q21588525,
RE:Asklepiodotos 11,,Q21588401,
RE:Asklepiodoros 9,,Q21588396,
RE:Asklepiodoros 11,,Q21588398,
RE:Bekuli,,Q21588489,
RE:Bembina,,Q21588526,
RE:Asklepios 1,,Q21588410,
RE:Begetos,,Q21588484,
RE:Belbina 1,,Q21588491,
RE:Belicenses,,Q21588336,
RE:Belone,,Q21588520,
RE:Belebatos,,Q21588493,
RE:Belphoi,,Q21588521,
RE:Beleus 2,,Q21588504,
RE:Belnar,,Q21588517,
RE:Asklepiodotos 10,,Q21588400,
RE:Beleus 1,,Q21588503,
RE:Domitius 27,,Q21588602,
RE:Bedizum,,Q21588478,
RE:Beltra,,Q21588523,
RE:Bekis,,Q21588488,
RE:Begorritis lacus,,Q21588486,
RE:Bellonarii,,Q21588513,
RE:Domitius 26,,Q21588601,
RE:Asklepiodoros 4,,Q21588391,
RE:Asklepiades 7,,Q21497658,
RE:Asklepiades 10,,Q21497667,
RE:Asklepiades 38,,Q21588331,
RE:Asklepiades 39,,Q21588371,
RE:Asklepiades 40,,Q21588372,
RE:Asklepiades 21,,Q21588343,
RE:Asklepiades 45,,Q21588381,
RE:Asklepiades 8,,Q21497660,
RE:Asklepiades 5,,Q21497650,
RE:Asklepiades 27,,Q21588350,
RE:Asklepiades 42,,Q21588376,
RE:Asklepiodoros 8,,Q21588395,
RE:Asklepiades 43,,Q21588377,
RE:Asklepiodoros 5,,Q21588392,
RE:Asklepiades 9,,Q21497665,
RE:Asklepiades 34,,Q21588362,
RE:Asklepiodoros 1,,Q21588384,
RE:Asklepiades 35,,Q21588363,
RE:Asklepiades 11,,Q21497671,
RE:Asklepiades 46,,Q21588382,
RE:Asklepiades 14,,Q21497678,
RE:Asklepiades 28,,Q21588351,
RE:Asklepiades 6,,Q21497653,
RE:Asklepiodoros 3,,Q21588388,
RE:Asklepiades 32,,Q21588359,
RE:Asklepiades 15,,Q21497684,
RE:Bepara,,Q21497691,
RE:Asklepiades 26,,Q21588349,
RE:Asklepiades 14a,,Q21497682,
RE:Asklepiades 36,,Q21588366,
RE:Asklepiades 41,,Q21588375,
RE:Asklepiades 19,,Q21497689,
RE:Asklepiades 22,,Q21588344,
RE:Asklepiades 37,,Q21588368,
RE:Asklepiades 23,,Q21588345,
RE:Asklepiades 31,,Q21588357,
RE:Asklepiodoros 2,,Q21588386,
RE:Asklepiades 13,,Q21497676,
RE:Asklepiades 29,,Q21588353,
RE:Asklepiades 24,,Q21588346,
RE:Asklepiades 20,,Q21588342,
RE:Asklepiodoros 6,,Q21588393,
RE:Asklepiodoros 7,,Q21588394,
RE:Asklepiades 25,,Q21588347,
RE:Asklepiades 12,,Q21497673,
RE:Asklepiades 44,,Q21588380,
RE:Asklepiades 30,,Q21588355,
RE:Asklepiades 33,,Q21588361,
RE:Askion,,Q21497619,
RE:Asklapon 3,,Q21497635,
RE:Asklepiades 4,,Q21497645,
RE:Asklapon 1,,Q21497630,
RE:Asine 4,,Q21497592,
RE:Askara,,Q21470280,
RE:Asinaria,,Q21470269,
RE:Ἀσκανία λίμνη 2,,Q21470278,
RE:Ἀσκέρα,,Q21497694,
RE:Asinaia,,Q21470267,
RE:Askaphos,,Q21470279,
RE:Asinda,,Q21497579,
RE:Asinaros,,Q21497575,
RE:Asine 5,,Q21497596,
RE:Asketades,,Q21497612,
RE:Asklepiades 3,,Q21497642,
RE:Asilva,,Q21470265,
RE:Askerris,,Q21497609,
RE:Ἀσκανία λίμνη 1,,Q21470276,
RE:Asine 2,,Q21497585,
RE:Askalis,,Q21470270,
RE:Asilius 1,,Q21470258,
RE:Asklapiodoros,,Q21497627,
RE:Asklepiades 2,,Q21497640,
RE:Asine 1,,Q21497582,
RE:Ἀσίλλα,,Q21470261,
RE:Asklation 1,,Q21497636,
RE:Ἀσκαρίς 2,,Q21470284,
RE:Asklepiadai,,Q21497565,
RE:Asindon,,Q21497556,
RE:Asilius 2,,Q21470260,
RE:Askaros,,Q21497601,
RE:Asine 3,,Q21497590,
RE:Asklapiastai,,Q21497559,
RE:Asillus,,Q21470262,
RE:Asklepas,,Q21497563,
RE:Askitai,,Q21497622,
RE:Askaules,,Q21497607,
RE:Ἀσκάνιαι νῆσοι,,Q21470252,
RE:Asini,,Q21497598,
RE:Ἀσιναῖος κόλπος,,Q21470268,
RE:Askioi,,Q21497614,
RE:Ἀσκαρίς 1,,Q21470283,
RE:Asinaria via,,Q21497573,
RE:Asklepiades 1,,Q21497638,
RE:Asinaria porta,,Q21497570,
RE:Asklapon 2,,Q21497632,
RE:Asilas,,Q21470257,
RE:Askatakas,,Q21497604,
RE:Asines,,Q21497554,
RE:Askarata,,Q21470282,
RE:Askania 2,,Q21470274,
RE:Baiosi,,Q21404533,
RE:Asiaticus 8a-e,,Q21468115,
RE:As,,Q21450263,
RE:Asiaticus 6,,Q21468113,
RE:Baios,,Q21404532,
RE:Arx 3,,Q21329134,
RE:Asia 8,,Q21450277,
RE:Asia 12,,Q21450284,
RE:Asiaticus 4,,Q21468111,
RE:Baiotis,,Q21404534,
RE:Asido,,Q21468119,
RE:Asia 9,,Q21450279,
RE:Asiaticus 3,,Q21468110,
RE:Aseates,,Q21450267,
RE:Asia 7,,Q21450276,
RE:Asia 4,,Q21450272,
RE:Himelco,,Q21404540,
RE:Ἀσιὰς φυλή,,Q21468122,
RE:Askania 3,,Q21470275,
RE:Banaurides,,Q21404535,
RE:Chronica Imperialia,,Q21403391,
RE:Asiaticus 2,,Q21468109,
RE:Asia 5,,Q21450273,
